title,decade
We've Got Each Other,1970
"Welcome Back, Kotter",1970
What's Happening!!,1970
When Things Were Rotten,1970
Where's Huddles?,1970
Who's Watching the Kids?,1970
WKRP in Cincinnati,1970
Working Stiffs (TV series),1970
A Year at the Top,1970
1st & Ten (1984 TV series),1980
9 to 5 (TV series),1980
227 (TV series),1980
A.k.a. Pablo,1980
"Ace Crawford, Private Eye",1980
Adventures in Babysitting,1980
AfterMASH,1980
ALF (TV series),1980
Alice (American TV series),1980
All Is Forgiven (TV series),1980
Amanda's,1980
Amen (TV series),1980
Angie (TV series),1980
Ann Jillian (TV series),1980
Annie McGuire (TV series),1980
Anything but Love,1980
Archie Bunker's Place,1980
The Associates (American TV series),1980
At Ease (TV series),1980
Baby Boom (American TV series),1980
Baby Makes Five,1980
The Bad News Bears (TV series),1980
Baker's Dozen (TV series),1980
Barney Miller,1980
The Baxters,1980
Benson (TV series),1980
Best of the West,1980
Beverly Hills Buntz,1980
Bosom Buddies,1980
Boys Will Be Boys (TV series),1980
The Brady Brides,1980
Brothers (1984 TV series),1980
Buffalo Bill (TV series),1980
Bustin' Loose (TV series),1980
Cadets (1988 TV pilot),1980
Cass Malloy,1980
The Cavanaughs (TV series),1980
Charles in Charge,1980
The Charmings,1980
Checking In,1980
Cheers,1980
Chicken Soup (TV series),1980
Coach (TV series),1980
Coming of Age (1988 TV series),1980
Coming to America (TV pilot),1980
Condo (TV series),1980
The Cosby Show,1980
D.C. Follies,1980
Dads (1986 TV series),1980
Day by Day (American TV series),1980
Dear John (American TV series),1980
Designing Women,1980
Diff'rent Strokes,1980
A Different World,1980
Doctor Doctor (American TV series),1980
Domestic Life (TV series),1980
"Doogie Howser, M.D.",1980
Down and Out in Beverly Hills (TV series),1980
Down to Earth (American TV series),1980
Dreams (TV series),1980
The Duck Factory,1980
Duet (TV series),1980
Easy Street (TV series),1980
Eisenhower and Lutz,1980
The Ellen Burstyn Show,1980
Empire (1984 TV series),1980
Empty Nest,1980
E/R,1980
Everything's Relative (1987 TV series),1980
Family Man (American TV series),1980
Family Ties,1980
The Famous Teddy Z,1980
Fathers and Sons (1986 TV series),1980
Filthy Rich (1982 TV series),1980
First Impressions (TV series),1980
Flo (TV series),1980
FM (American TV series),1980
Foley Square (TV series),1980
Frank's Place,1980
Free Spirit (TV series),1980
Full House,1980
Gimme a Break!,1980
Gloria (American TV series),1980
The Golden Girls,1980
Good Time Harry,1980
"Goodnight, Beantown",1980
Goodtime Girls,1980
Growing Pains,1980
Gun Shy (TV series),1980
Gung Ho (TV series),1980
Hail to the Chief (TV series),1980
Hard Knocks (1987 TV series),1980
Harper Valley PTA (TV series),1980
Harry (American TV series),1980
Have Faith,1980
Heartland (1989 TV series),1980
"Hello, Larry",1980
"Herbie, the Love Bug (TV series)",1980
The Hogan Family,1980
Homeroom (TV series),1980
House Calls (TV series),1980
I 40 Paradise,1980
I Married Dora,1980
I'm a Big Girl Now,1980
It Takes Two (American TV series),1980
It's a Living,1980
It's Garry Shandling's Show,1980
It's Not Easy,1980
Jennifer Slept Here,1980
The Jetsons,1980
Joanie Loves Chachi,1980
Joe's World,1980
Just in Time (TV series),1980
Just Our Luck,1980
Just the Ten of Us,1980
Karen's Song,1980
Kate & Allie,1980
Knight & Daye,1980
Ladies' Man (1980 TV series),1980
The Last Precinct,1980
The Last Resort (American TV series),1980
Laverne & Shirley,1980
Leo & Liz in Beverly Hills,1980
Lewis & Clark (TV series),1980
The Life and Times of Eddie Roberts,1980
Life with Lucy,1980
Live-In,1980
Living Dolls,1980
The Love Boat,1980
"Love, Sidney",1980
The Lucie Arnaz Show,1980
Madame's Place,1980
Maggie (1981 American TV series),1980
Maggie Briggs,1980
Major Dad,1980
Making the Grade (TV series),1980
Mama Malone,1980
Mama's Boy (TV series),1980
Mama's Family,1980
Marblehead Manor,1980
Married... with Children,1980
Mary (1985 TV series),1980
M*A*S*H (TV series),1980
Me and Maxx,1980
Melba (TV series),1980
The Misadventures of Sheriff Lobo,1980
Mr. Belvedere,1980
Mr. Merlin,1980
Mr. President (TV series),1980
Mr. Smith (TV series),1980
Mr. Sunshine (1986 TV series),1980
Mork & Mindy,1980
The Munsters Today,1980
Murphy Brown,1980
My Sister Sam,1980
My Two Dads,1980
Nearly Departed,1980
The New Archies,1980
The New Gidget,1980
A New Kind of Family,1980
The New Leave It to Beaver,1980
New Monkees,1980
The New Odd Couple,1980
Newhart,1980
Night Court,1980
"No Soap, Radio (TV series)",1980
Nobody's Perfect (American TV series),1980
Nothing in Common (TV series),1980
The Nutt House,1980
Off the Rack,1980
Oh Madeline,1980
Once a Hero,1980
One Big Family (TV series),1980
One Day at a Time (1975 TV series),1980
One in a Million (American TV series),1980
One of the Boys (1982 TV series),1980
One of the Boys (1989 TV series),1980
Open All Night (TV series),1980
Open House (1989 TV series),1980
Park Place (TV series),1980
The People Next Door (American TV series),1980
Perfect Strangers (TV series),1980
Phyl & Mikhy,1980
Police Squad!,1980
Private Benjamin (TV series),1980
Punky Brewster,1980
The Pursuit of Happiness (1987 TV series),1980
"¿Qué Pasa, USA?",1980
Raising Miranda,1980
The Redd Foxx Show,1980
Reggie (TV series),1980
Report to Murphy,1980
The Robert Guillaume Show,1980
Rocky Road (TV series),1980
Roomies (TV series),1980
The Ropers,1980
Roseanne,1980
Roxie (TV series),1980
Safe at Home (TV series),1980
Sanchez of Bel Air,1980
1st & Ten (1984 TV series),1990
3rd Rock from the Sun,1990
The 5 Mrs. Buchanans,1990
100 Deeds for Eddie McDowd,1990
ALF (TV series),1990
Aliens in the Family,1990
All-American Girl (TV series),1990
All Dogs Go to Heaven: The Series,1990
Almost Perfect,1990
Alright Already (TV series),1990
American Dreamer (TV series),1990
Ann Jillian (TV series),1990
Anything but Love,1990
Apartment 2F,1990
Arliss (TV series),1990
The Army Show,1990
Arresting Behavior,1990
Arsenio (TV series),1990
Ask Harriet,1990
Babes (TV series),1990
Baby Talk (TV series),1990
Bagdad Cafe (TV series),1990
Bailey Kipper's P.O.V.,1990
Beavis and Butt-Head,1990
Becker (TV series),1990
Los Beltrán,1990
Between Brothers,1990
Big Brother Jake,1990
Big Wave Dave's,1990
Billy (1992 TV series),1990
Bless This House (American TV series),1990
Blue Skies (1994 TV series),1990
Bob (TV series),1990
Bonnie (TV series),1990
Boston Common (TV series),1990
The Boys (1993 TV series),1990
The Boys Are Back (TV series),1990
The Brian Benben Show,1990
Bringing up Jack,1990
Brooklyn Bridge (TV series),1990
Brother's Keeper (1998 TV series),1990
Brotherly Love (1995 TV series),1990
Buddies (TV series),1990
The Building (TV series),1990
Built to Last (TV series),1990
Café Americain,1990
Camp Wilder,1990
Can't Hurry Love,1990
Capitol Critters,1990
Caroline in the City,1990
Champs (TV series),1990
Charles in Charge,1990
Charlie Hoover,1990
Cheers,1990
Chicago Sons,1990
The Chimp Channel,1990
City (TV series),1990
City Guys,1990
Claude's Crib,1990
Cleghorne!,1990
The Closer (1998 TV series),1990
Coach (TV series),1990
Common Law (1996 TV series),1990
Conrad Bloom,1990
Cosby (TV series),1990
The Cosby Show,1990
Costello (TV series),1990
The Crew (1995 TV series),1990
The Critic,1990
Cutters (TV series),1990
Cybill,1990
Daddy Dearest,1990
Daddy's Girls (1994 TV series),1990
Damon (TV series),1990
Dave's World,1990
Davis Rules,1990
Dear John (American TV series),1990
Delta (American TV series),1990
Designing Women,1990
Dharma & Greg,1990
A Different World,1990
Dilbert (TV series),1990
Dinosaurs (TV series),1990
DiResta,1990
Doctor Doctor (American TV series),1990
"Dr. Katz, Professional Therapist",1990
"Doogie Howser, M.D.",1990
Double Rush,1990
Doug (TV series),1990
Down Home (TV series),1990
Down the Shore,1990
Downtown (1999 TV series),1990
Dream On (TV series),1990
Drexell's Class,1990
Duckman,1990
Dudley (TV series),1990
Dweebs (TV series),1990
Ellen (TV series),1990
Empty Nest,1990
Encore! Encore!,1990
Evening Shade,1990
Everybody Loves Raymond,1990
Everything's Relative (1999 TV series),1990
The Faculty (TV series),1990
Family Album (1993 TV series),1990
A Family for Joe,1990
Family Guy,1990
The Family Man (American TV series),1990
Family Matters,1990
Family Rules (American TV series),1990
The Famous Teddy Z,1990
The Fanelli Boys,1990
Fired Up (TV series),1990
First Time Out,1990
Flesh 'n' Blood (TV series),1990
Flying Blind (TV series),1990
FM (American TV series),1990
For Your Love (TV series),1990
Frank Leaves for the Orient,1990
Frannie's Turn,1990
Frasier,1990
Free Spirit (TV series),1990
The Fresh Prince of Bel-Air,1990
Friends,1990
Fudge (TV series),1990
Full House,1990
Futurama,1990
George (1993 TV series),1990
George and Leo,1990
The George Carlin Show,1990
The George Wendt Show,1990
Get a Life (American TV series),1990
Get Smart (1995 TV series),1990
Getting Personal,1990
Going Places (American TV series),1990
The Golden Girls,1990
The Golden Palace,1990
Good Advice (TV series),1990
Good & Evil (TV series),1990
Good Company (TV series),1990
Good Grief (TV series),1990
The Good Life (1994 TV series),1990
Good News (TV series),1990
Good Sports,1990
Goode Behavior,1990
Goof Troop,1990
Grace Under Fire,1990
Grand (TV series),1990
Grapevine (TV series),1990
The Gregory Hines Show,1990
Growing Pains,1990
Grown Ups (1999 TV series),1990
Guys Like Us,1990
Hang Time (TV series),1990
Hangin' with Mr. Cooper,1990
Hardball (1994 TV series),1990
Harry and the Hendersons (TV series),1990
Head over Heels (American TV series),1990
Hearts Afire,1990
Here and Now (1992 TV series),1990
Herman's Head,1990
Hey Arnold!,1990
"Hi Honey, I'm Home!",1990
The High Life (American TV series),1990
High Society (1995 TV series),1990
Hiller and Diller,1990
His & Hers (TV series),1990
Hitz,1990
The Hogan Family,1990
Holding the Baby (American TV series),1990
The Home Court,1990
Home Fires (American TV series),1990
Home Free (1993 TV series),1990
Home Improvement (TV series),1990
Home Movies (TV series),1990
"Honey, I Shrunk the Kids: The TV Show",1990
Hope & Gloria,1990
House Rules (1998 TV series),1990
Hudson Street (TV series),1990
The Hughleys,1990
If Not for You (TV series),1990
In the House (TV series),1990
Ink (TV series),1990
It Had to Be You (TV series),1990
It's Garry Shandling's Show,1990
"It's Like, You Know...",1990
The Jackie Thomas Show,1990
The Jeff Foxworthy Show,1990
Jenny (TV series),1990
Jesse (TV series),1990
Joe's Life,1990
The John Larroquette Show,1990
Johnny Bravo,1990
Julie (TV series),1990
Just Shoot Me!,1990
Just the Ten of Us,1990
Katie Joplin,1990
Kelly Kelly (TV series),1990
The King of Queens,1990
King of the Hill,1990
2gether (American TV series),2000
3-South,2000
3rd Rock from the Sun,2000
8 Simple Rules,2000
100 Deeds for Eddie McDowd,2000
A.U.S.A.,2000
Abby (TV series),2000
Accidentally on Purpose (TV series),2000
According to Jim,2000
American Dad!,2000
"Andy Barker, P.I.",2000
The Anna Nicole Show,2000
Aqua Teen Hunger Force,2000
Archer (2009 TV series),2000
Arliss (TV series),2000
As for Me and My House (TV series),2000
Assy McGee,2000
Baby Blues (American TV series),2000
Baby Bob,2000
Back to You (TV series),2000
The Bad Girl's Guide,2000
Battery Park (TV series),2000
Becker (TV series),2000
Los Beltrán,2000
Bette (TV series),2000
Beware of Dog (TV series),2000
The Big Bang Theory,2000
The Bill Engvall Show,2000
Bob Patterson (TV series),2000
The Boondocks (2005 TV series),2000
The Brak Show,2000
Bram & Alice,2000
Brutally Normal,2000
The Business (TV series),2000
Campus Ladies,2000
Center of the Universe (TV series),2000
Charlie Lawrence,2000
Childrens Hospital,2000
The Cho Show,2000
The Chris Isaak Show,2000
City Guys,2000
The Class (TV series),2000
Clerks: The Animated Series,2000
Click and Clack's As the Wrench Turns,2000
Come to Papa (TV series),2000
Committed (American TV series),2000
Cosby (TV series),2000
Coupling (American TV series),2000
Courting Alex,2000
Crumbs (TV series),2000
Cursed (2000 TV series),2000
Daddio,2000
Dharma & Greg,2000
Dilbert (TV series),2000
Do Not Disturb (TV series),2000
"Dr. Katz, Professional Therapist",2000
Dog Bites Man,2000
Drawn Together,2000
The Ellen Show,2000
Emeril (TV series),2000
Everybody Loves Raymond,2000
Factory (TV series),2000
Family Affair (2002 TV series),2000
Family Guy,2000
Fat Actress,2000
Father of the Pride,2000
The Fighting Fitzgeralds,2000
Flight of the Conchords (TV series),2000
For Your Love (TV series),2000
Four Kings,2000
Frasier,2000
Freddie (TV series),2000
Free for All (TV series),2000
Free Radio,2000
Friends,2000
Futurama,2000
Game Over (TV series),2000
Gary & Mike,2000
Gary the Rat,2000
Gary Unmarried,2000
The Geena Davis Show,2000
George Lopez (TV series),2000
"God, the Devil and Bob",2000
Good Girls Don't (TV series),2000
"Good Morning, Miami",2000
The Goode Family,2000
Grapevine (TV series),2000
Greetings from Tucson,2000
Greg the Bunny,2000
Grounded for Life,2000
Grown Ups (1999 TV series),2000
The Grubbs,2000
Halfway Home (TV series),2000
Hang Time (TV series),2000
Hank (2009 TV series),2000
Happy Family (American TV series),2000
Happy Hour (TV series),2000
"Harvey Birdman, Attorney at Law",2000
Head Case,2000
The Help (TV series),2000
Hey Arnold!,2000
Hidden Hills,2000
Home Movies (TV series),2000
"Honey, I Shrunk the Kids: The TV Show",2000
Hope & Faith,2000
Hot Properties (TV series),2000
How I Met Your Mother,2000
The Hughleys,2000
I'm with Her (TV series),2000
Imagine That (TV series),2000
In Case of Emergency (TV series),2000
In-Laws,2000
Inside Schwartz,2000
It's All Relative,2000
"It's Like, You Know...",2000
Jake in Progress,2000
Jesse (TV series),2000
Joey (TV series),2000
Johnny Bravo,2000
Just Shoot Me!,2000
Kid Notorious,2000
The King of Queens,2000
King of the Hill,2000
Kristin (TV series),2000
Ladies Man (1999 TV series),2000
Less than Perfect,2000
The Life & Times of Tim,2000
Life on a Stick,2000
Life with Bonnie,2000
Listen Up (TV series),2000
Living with Fran,2000
Lost at Home,2000
Love & Money,2000
"Love, Inc. (TV series)",2000
Lucky Louie,2000
Luis (TV series),2000
Madigan Men,2000
Malcolm & Eddie,2000
Malcolm in the Middle,2000
"Malibu, CA (TV series)",2000
Married to the Kellys,2000
"Men, Women & Dogs",2000
The Michael Richards Show,2000
The Minor Accomplishments of Jackie Woodman,2000
A Minute with Stan Hooper,2000
Mission Hill (TV series),2000
Modern Men,2000
Moral Orel,2000
Movie Stars (TV series),2000
The Mullets,2000
My Big Fat Greek Life,2000
The New Adventures of Old Christine,2000
Nikki (TV series),2000
Nobody's Watching,2000
The Norm Show,2000
"Normal, Ohio",2000
The Oblongs,2000
Off Centre,2000
Oh Baby (TV series),2000
Out of Practice,2000
Party Down,2000
Pastor Greg,2000
The Pitts,2000
The PJs,2000
Raising Dad,2000
The Random Years,2000
Reba (TV series),2000
Regular Joe (TV series),2000
"Ren & Stimpy ""Adult Party Cartoon""",2000
The Return of Jezebel James,2000
Rick & Steve: The Happiest Gay Couple in All the World,2000
Rita Rocks,2000
Rock Me Baby (TV series),2000
Rodney (TV series),2000
Roommates (TV series),2000
Rules of Engagement (TV series),2000
Run of the House,2000
Sammy (TV series),2000
Saved by the Bell: The New Class,2000
Secret Girlfriend,2000
The Simpsons,2000
"Sit Down, Shut Up (2009 TV series)",2000
Slacker Cats,2000
So Notorious,2000
Some of My Best Friends,2000
South Park,2000
Spin City,2000
Stacked,2000
Stark Raving Mad (TV series),2000
Stella (American TV series),2000
The Steve Harvey Show,2000
Still Standing (American TV series),2000
The Stones (TV series),2000
Strip Mall,2000
Suddenly Susan,2000
Surviving Suburbia,2000
Talk to Me (American TV series),2000
Teachers (2006 TV series),2000
That's My Bush!,2000
Then Came You (TV series),2000
2 Broke Girls,2010
9JKL,2010
30 Rock,2010
100 Questions,2010
Abby's,2010
Accidentally on Purpose (TV series),2010
Allen Gregory,2010
The Amazing World of Gumball,2010
American Dad!,2010
Anger Management (TV series),2010
Aqua Teen Hunger Force,2010
Archer (2009 TV series),2010
"Are You There, Chelsea?",2010
The Awesomes,2010
Baby Daddy,2010
Bad Samaritans (TV series),2010
Beavis and Butt-Head,2010
Benders (TV series),2010
Better with You,2010
The Big Bang Theory,2010
Big Lake (TV series),2010
